双色球,23139 ,['12', '14', '19', '21', '27', '31'],11
双色球,23140 ,['3', '4', '11', '14', '30', '31'],5
双色球,23141 ,['1', '8', '11', '12', '21', '23'],3
双色球,23142 ,['2', '8', '20', '21', '27', '33'],14
双色球,23143 ,['5', '7', '9', '16', '23', '30'],15
双色球,23144 ,['12', '16', '17', '22', '25', '27'],8
双色球,23145 ,['7', '10', '21', '22', '23', '24'],11
双色球,23146 ,['2', '3', '6', '11', '20', '32'],9
双色球,23147 ,['5', '6', '14', '16', '19', '32'],12
双色球,23148 ,['3', '5', '7', '9', '19', '20'],8
双色球,23149 ,['2', '10', '19', '24', '26', '33'],15
双色球,23150 ,['10', '17', '25', '26', '30', '33'],5
双色球,23151 ,['1', '15', '16', '20', '25', '27'],5
双色球,24001 ,['3', '7', '16', '26', '27', '32'],16
双色球,24002 ,['4', '9', '10', '17', '19', '20'],9
双色球,24003 ,['1', '5', '8', '13', '32', '33'],3
双色球,24004 ,['9', '13', '17', '18', '21', '27'],4
双色球,24005 ,['5', '6', '20', '23', '25', '32'],3
双色球,24006 ,['7', '18', '20', '21', '26', '32'],5
双色球,24007 ,['4', '5', '6', '7', '20', '22'],15
双色球,24008 ,['8', '20', '21', '23', '27', '30'],13
双色球,24009 ,['1', '4', '7', '10', '17', '23'],14
双色球,24010 ,['11', '16', '20', '21', '23', '24'],4
双色球,24011 ,['8', '12', '16', '20', '27', '31'],6
双色球,24012 ,['1', '3', '7', '18', '22', '28'],15
双色球,24013 ,['1', '7', '10', '14', '21', '25'],7
双色球,24014 ,['1', '2', '10', '22', '24', '25'],13
双色球,24015 ,['3', '8', '17', '18', '20', '30'],15
双色球,24016 ,['7', '12', '20', '24', '32', '33'],4
双色球,24017 ,['4', '17', '19', '20', '25', '32'],4
